name,name,url
チェリッシュスタジオ4号館/8号館,チェリッシュスタジオ4号館,https://dance-studio-lab.com/room/YmY1NWZhYjEtNTU5OC00MGM3LTliNjAtMjk1ZmIxMmE5ZDE3/detail
チェリッシュスタジオ11号館/12号館/13号館/14号館,チェリッシュスタジオ12号館,https://dance-studio-lab.com/room/MjEzNWFjN2UtNzc1My00Y2Q2LTk5MmUtYjUyMWQxYzA3YWMy/detail
レンタルスタジオAivic高田馬場,レンタルスタジオAivic高田馬場,https://dance-studio-lab.com/room/M2JhMTAxM2EtZmMxNi00ODUwLTllNjUtNWQ4OTY3NmE2MWZj/detail
レンタルスタジオAivic池袋西口,レンタルスタジオAivic池袋西口,https://dance-studio-lab.com/room/OGY0MGIxYWEtNDM4Yi00YzAwLWI0OGMtOTAyOTkyYTJhMDYz/detail
Aスタジオ,Aスタジオ,https://dance-studio-lab.com/room/MjJkZDA5OWItZjVjNS00M2Q2LWEwNjUtMzM3Y2IwZWZlMTI1/detail
レンタルスタジオAivic池袋東口2号店,レンタルスタジオAivic池袋東口2号店,https://dance-studio-lab.com/room/ZTVmNmYwZGYtZTExNy00YTlkLTk4MDktODhhMWE2ZTYyNmNj/detail
BEATs レンタルスタジオ ビーツ,7.5m×5mの使いやすい大きさ！ 人数目安?約17人☆,https://dance-studio-lab.com/room/ZWU0MDNlZTUtMDE1Zi00NDcyLWFjZjgtZTAzNzUzZTAwMzNj/detail
Dubway レンタルスタジオ大塚,Dubway Dance Lab 大塚　B Room,https://dance-studio-lab.com/room/NWNiYjRiMTItNmM4MS00NjE3LWE0NjAtOWI0MTU3ZjEwM2Uz/detail
Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,Hina STUDIO（ヒナスタジオ）新宿西口アネックス【Aスタジオ】,https://dance-studio-lab.com/room/YjE2ZDdlY2ItMmM4MC00MDg2LWIwNTItMTM0YjI0YTllOTkz/detail
Dubway レンタルスタジオ中野,Dubway中野　ARoom,https://dance-studio-lab.com/room/MzFmYWU5ZjgtNmM0NC00MDYzLTljOGUtMjFlZDI1MmVhMDE5/detail
チェリッシュスタジオ11号館/12号館/13号館/14号館,チェリッシュスタジオ13号館,https://dance-studio-lab.com/room/ZWMwMGU3MjQtN2RjYy00NjRlLWI2NmQtZjk2ODgyMWU5Nzcy/detail
BEATs レンタルスタジオ ビーツ,5.1m×4.9mの少人数向けスタジオ！ 人数目安?約7人☆,https://dance-studio-lab.com/room/NGMwMDY5ZmUtNzc0ZS00MzY1LWI5OTAtZmUyOWQzZDdkYWQx/detail
Bスタジオ,Bスタジオ,https://dance-studio-lab.com/room/M2RmZTcwMjMtODVkYy00ZmMyLWFmM2EtN2I5ZjE0NjA3Y2Y5/detail
BEATs レンタルスタジオ ビーツ,9m×6.5mの大人数向けスタジオ！ 人数目安?約30人☆,https://dance-studio-lab.com/room/MjEzNDkzZDMtMTE1ZC00MDFlLWE2NTgtYTU0ZjVmNGFmNTBm/detail
Rental Studio Lab,広い,https://dance-studio-lab.com/room/Nzk0YjBiYmMtOTVkNC00ZWE4LWI4YTUtMzk5ZTM0N2U1ODU1/detail
THビル,TH2D　,https://dance-studio-lab.com/room/ZWFjYmE5MmQtYzlmMy00ZjQwLWIyN2MtNDk3NjBmMTZjY2M4/detail
チェリッシュスタジオ9号館,チェリッシュスタジオ9号館,https://dance-studio-lab.com/room/NGU3OTQ4YzEtMzA3OS00NDc3LThjODQtYWFkMmUzMTE4ZmFm/detail
【TEST】ダンススタジオラボ,1013,https://dance-studio-lab.com/room/NDc2NjkwNjctOWM0Mi00NWYwLTk2NzQtMTlmN2QwNWQwNjA5/detail
レンタルスタジオAivic新橋,レンタルスタジオAivic新橋,https://dance-studio-lab.com/room/M2EyMzEzOTUtMjkwNC00MmRlLWI3YWEtYjBiMmM1NGUzYzhl/detail
銀座レンタルスペース＆スタジオAnotherONE＋   ?? DansuStudioLab ?オープニング特別キャンペーン先着限定10名様 １Hプレゼント??,銀座レンタルスペース＆スタジオAnotherONE＋    ??DansuStudioLab ?オープニング特別キャンペーン先着限定10名様 １Hプレゼント??,https://dance-studio-lab.com/room/YzA5OTc2ODEtNzU4NS00Mzk1LTgxZTYtOWJiZmUwNWQ4NDk0/detail
Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,Hina STUDIO（ヒナスタジオ）新宿西口【Bスタジオ】,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail
Dubway レンタルスタジオ小岩,Dubway 小岩A Room,https://dance-studio-lab.com/room/OWQ1M2I1OWItNjJkNy00NWVjLThkNWItNWY4M2ExOGVhYmM4/detail
レンタルスタジオAivic大塚,レンタルスタジオAivic大塚,https://dance-studio-lab.com/room/MjU5YzI0ZTUtYzE1MC00ODhmLWI2Y2MtNTk5YTFmMWIwMzZi/detail
Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,Hina STUDIO（ヒナスタジオ）新宿西口【Aスタジオ】,https://dance-studio-lab.com/room/ZGRhZmJmNGYtNzRhOC00NzkxLThlODctMWEwZmUzYTE5ZWY5/detail
チェリッシュスタジオ1号館/6号館,チェリッシュスタジオ1号館,https://dance-studio-lab.com/room/NmY3ODljNDItMGVjZS00NGM4LTk0NGQtNmU2MDk0OTQ0ZDNi/detail
BUZZ新宿ハウス,1F,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail
