station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1131905,1131905,さいたま新都心,さいたま新都心,埼玉県,さいたま市,さいたま市大宮区,さいたま市大宮区吉敷町４丁目５７番地３,35.893867,139.633587,JR京浜東北線|JR高崎線|宇都宮線,JR東日本,3,C,24,駅データ.jp
1131906,1131906,大宮,大宮,埼玉県,さいたま市,さいたま市大宮区,さいたま市大宮区錦町,35.906718,139.623912,JR京浜東北線|JR埼京線|JR川越線|JR湘南新宿ライン|JR高崎線|ニューシャトル|宇都宮線|東武アーバンパークライン（東武野田線）,JR東日本|埼玉新都市交通|東武鉄道,8,S,80,駅データ.jp
1131912,1131912,久喜,久喜,埼玉県,久喜市,久喜市,久喜市中央２丁目,36.065684,139.67727,宇都宮線|東武伊勢崎線,JR東日本|東武鉄道,2,C,23,駅データ.jp
1131918,1131918,小山,小山,栃木県,小山市,小山市,小山市城山町,36.312747,139.806241,JR両毛線|JR水戸線|宇都宮線,JR東日本,3,B,42,駅データ.jp
1131923,1131923,宇都宮,宇都宮,栃木県,宇都宮市,宇都宮市,宇都宮市川向町,36.559197,139.898773,JR日光線|宇都宮線|芳賀・宇都宮LRT,JR東日本|宇都宮ライトレール,3,B,57,駅データ.jp
1131932,1131932,那須塩原,那須塩原,栃木県,那須塩原市,那須塩原市,那須塩原市大原間,36.931956,140.020694,宇都宮線,JR東日本,1,C,23,駅データ.jp
1132004,1132004,南千住,南千住,東京都,荒川区,荒川区,荒川区南千住４丁目,35.733281,139.799152,JR常磐線(上野～取手)|つくばエクスプレス|東京メトロ日比谷線,JR東日本|東京メトロ|首都圏新都市鉄道,3,C,24,駅データ.jp
1132005,1132005,北千住,北千住,東京都,足立区,足立区,足立区千住旭町,35.749378,139.804816,JR常磐線(上野～取手)|つくばエクスプレス|東京メトロ千代田線|東京メトロ日比谷線|東武伊勢崎線,JR東日本|東京メトロ|東武鉄道|首都圏新都市鉄道,5,A,60,駅データ.jp
1132009,1132009,松戸,松戸,千葉県,松戸市,松戸市,松戸市松戸,35.784472,139.900779,JR常磐線(上野～取手)|京成松戸線,JR東日本|京成電鉄,2,A,60,駅データ.jp
1132015,1132015,柏,柏,千葉県,柏市,柏市,柏市柏１,35.862316,139.971148,JR常磐線(上野～取手)|東武アーバンパークライン（東武野田線）,JR東日本|東武鉄道,2,A,60,駅データ.jp
1132017,1132017,我孫子,我孫子,千葉県,我孫子市,我孫子市,我孫子市本町２丁目,35.87279,140.010466,JR常磐線(上野～取手)|JR成田線,JR東日本,2,C,23,駅データ.jp
1132123,1132123,川越,川越,埼玉県,川越市,川越市,川越市脇田町,35.906742,139.483078,JR川越線|東武東上線,JR東日本|東武鉄道,2,C,23,駅データ.jp
