station_id,station_group_id,station_name,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1140908,1140908,南豊科,長野県,安曇野市,安曇野市,安曇野市豊科,36.291124,137.903457,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140909,1140909,豊科,長野県,安曇野市,安曇野市,安曇野市豊科,36.299957,137.900896,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140910,1140910,柏矢町,長野県,安曇野市,安曇野市,安曇野市穂高柏原,36.322529,137.888349,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140911,1140911,穂高,長野県,安曇野市,安曇野市,安曇野市穂高,36.33906,137.881869,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140912,1140912,有明,長野県,安曇野市,安曇野市,安曇野市穂高北穂高,36.359949,137.878236,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140913,1140913,安曇追分,長野県,安曇野市,安曇野市,安曇野市穂高北穂高,36.371795,137.872736,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140914,1140914,細野,長野県,,,北安曇郡松川村細野,36.397107,137.865722,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140915,1140915,北細野,長野県,,,北安曇郡松川村細野,36.406439,137.862725,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140916,1140916,信濃松川,長野県,,,北安曇郡松川村赤芝,36.424456,137.858631,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140917,1140917,安曇沓掛,長野県,大町市,大町市大字常盤区,大町市大字常盤区須沼,36.447795,137.854784,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140918,1140918,信濃常盤,長野県,大町市,大町市大字常盤区,大町市大字常盤区下一本木,36.467403,137.847148,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140919,1140919,南大町,長野県,大町市,大町市,大町市大町字大新田,36.491536,137.856269,北アルプス線,JR東日本,1,D,13,駅データ.jp
1140920,1140920,信濃大町,長野県,大町市,大町市,大町市大字大町,36.50031,137.861674,北アルプス線,JR東日本,1,D,13,駅データ.jp
1140921,1140921,北大町,長野県,大町市,大町市,大町市大字大町字荒沢,36.517558,137.857913,北アルプス線,JR東日本,1,D,13,駅データ.jp
1140922,1140922,信濃木崎,長野県,大町市,大町市,大町市大字平字木崎,36.535643,137.846189,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140923,1140923,稲尾,長野県,大町市,大町市,大町市大字平字道下,36.554058,137.842575,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140924,1140924,海ノ口,長野県,大町市,大町市,大町市大字平字下海道,36.565652,137.841824,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140925,1140925,簗場,長野県,大町市,大町市,大町市大字平,36.594666,137.844724,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140927,1140927,南神城,長野県,,,北安曇郡白馬村大字神城,36.637105,137.841551,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140928,1140928,神城,長野県,,,北安曇郡白馬村大字神城,36.658287,137.846586,北アルプス線,JR東日本,1,D,5,駅データ.jp
